Name,Frequency,Launch_Date,Region,Position_Longitude,Position_Direction,L_Rocket
G-Sat 8,Ku,210716.0,europe,54.9,E,
Yamal 402,Ku,240212.0,europe,54.9,E,
Express AM6 (Eutelsat 53A),Ku,240307.0,europe,53.0,E,
Al Yah 1,Ku,240308.0,europe,52.5,E,
TurkmenÄlem/MonacoSat,Ku,240308.0,europe,52.0,E,
Belintersat 1 (ChinaSat 15),CKu,240302.0,europe,51.5,E,
Türksat 4B,Ku,230819.0,europe,50.0,E,
Yamal 601,C,231217.0,europe,49.0,E,
Azerspace 1,CKu,240305.0,europe,46.0,E,
Azerspace 2/Intelsat 38,Ku,240308.0,europe,45.0,E,
Cosmos 2520,C,230905.0,europe,45.0,E,
NigComSat 1R,CKu,240204.0,europe,42.5,E,
Türksat 3A,Ku,240310.0,europe,42.0,E,
Türksat 4A,KuKa,240309.0,europe,42.0,E,
Türksat 5B,Ku,240130.0,europe,42.0,E,
Express AM7,CKu,240108.0,europe,40.0,E,
Hellas Sat 3,Ku,240310.0,europe,39.0,E,
Hellas Sat 4,Ku,240311.0,europe,39.0,E,
Paksat 1R,CKu,240306.0,europe,38.0,E,
Express AMU1 (Eutelsat 36C),Ku,240307.0,europe,36.0,E,
Eutelsat 36B,Ku,240308.0,europe,36.0,E,
Eutelsat 33F,Ku,240304.0,europe,33.0,E,
Intelsat 28,Ku,231019.0,europe,33.0,E,
Türksat 5A,Ku,240202.0,europe,31.0,E,Falcon 9
Arabsat 5A,Ku,240217.0,europe,30.5,E,Ariane 5 - V195
Arabsat 6A,Ku,240223.0,europe,30.5,E,Falcon 9
Astra 2E (Eutelsat 28E),Ku,240305.0,europe,28.3,E,
Astra 2F (Eutelsat 28F),Ku,240309.0,europe,28.3,E,
Astra 2G (Eutelsat 28G),Ku,240308.0,europe,28.3,E,
Badr 6 (incl. 0.6°),,,europe,26.0,E,
Badr 4,,,europe,26.0,E,Proton
Badr 5,Ku,240308.0,europe,26.0,E,Proton
Badr 7,Ku,240311.0,europe,26.0,E,Ariane 5 - VA227
Badr 8,CKu,240303.0,europe,26.0,E,Falcon 9
Es'hail 2,Ku,240301.0,europe,26.0,E,Falcon 9
Es'hail 1,KuKa,240223.0,europe,25.5,E,Ariane 5 - VA215
Astra 3B,Ku,240309.0,europe,23.5,E,Ariane 5 - V194
Astra 3C,Ku,240306.0,europe,23.5,E,Ariane 5 - VA216
Angosat 2,,,europe,23.0,E,Proton
Eutelsat 21B,Ku,240211.0,europe,21.5,E,Ariane 5 - VA210
Arabsat 5C,C,240306.0,europe,20.0,E,Ariane 5 - VA204
Astra 1KR,Ku,240309.0,europe,19.2,E,Atlas 5
Astra 1L,KuKa,240307.0,europe,19.2,E,Ariane 5 - V176
Astra 1M,Ku,240308.0,europe,19.2,E,Proton
Astra 1N,Ku,240202.0,europe,19.2,E,Ariane 5 - VA203
Amos 17,CKu,240201.0,europe,17.0,E,Falcon 9
Eutelsat 16A,KuKa,240310.0,europe,16.0,E,Long March 3B
Hotbird 13F,Ku,240308.0,europe,13.0,E,Falcon 9
Hotbird 13G,Ku,240229.0,europe,13.0,E,Falcon 9
Eutelsat 10B,CKu,240307.0,europe,10.0,E,Falcon 9
Eutelsat Ka-Sat 9A,Ka,231105.0,europe,9.0,E,Proton
Eutelsat 9B,Ku,240307.0,europe,9.0,E,Proton
Eutelsat 7B,KuKa,240308.0,europe,7.0,E,Proton
Eutelsat 7C,Ku,240306.0,europe,7.0,E,Ariane 5 - VA248
SES 5,CKu,240310.0,europe,4.9,E,Proton
Astra 4A,Ku,240309.0,europe,4.9,E,Proton
Eutelsat 3B,CKu,240304.0,europe,3.0,E,Zenit/Sea Launch
Rascom QAF 1R,CKu,240306.0,europe,3.0,E,Ariane 5 - V196
BulgariaSat 1,Ku,240304.0,europe,1.9,E,Falcon 9
Thor 7,Ku,240307.0,atlantic,0.8,W,
Thor 5,Ku,240311.0,atlantic,0.8,W,
Thor 6,Ku,240308.0,atlantic,0.8,W,
Intelsat 10-02 (Thor 10-02),CKu,240310.0,atlantic,0.8,W,
ABS 3A,CKu,240223.0,atlantic,3.0,W,
Amos 7,Ku,240306.0,atlantic,4.0,W,
Amos 3,Ku,240127.0,atlantic,4.0,W,
Eutelsat 5 West B,Ku,240214.0,atlantic,5.0,W,
Nilesat 201,Ku,240307.0,atlantic,7.0,W,
Nilesat 301,Ku,240307.0,atlantic,7.0,W,
Eutelsat 7 West A,Ku,240311.0,atlantic,7.0,W,
Eutelsat 8 West B,CKu,240306.0,atlantic,8.0,W,
Express AM44 (incl. 1.2°),C,240219.0,atlantic,11.0,W,
Express AM8,CKu,231218.0,atlantic,14.0,W,
Telstar 12 Vantage,Ku,240225.0,atlantic,15.0,W,
Intelsat 37e,CKu,240131.0,atlantic,18.0,W,
SES 4,CKu,240305.0,atlantic,22.0,W,
Alcomsat 1,Ku,231101.0,atlantic,24.8,W,
Intelsat 901,CKu,231001.0,atlantic,27.5,W,
Hispasat 30W-5,Ku,240305.0,atlantic,30.0,W,
Hispasat 30W-6,Ku,240302.0,atlantic,30.0,W,Falcon 9
Intelsat 35e,CKu,240226.0,atlantic,34.5,W,Falcon 9
NSS 10 (incl. 4.3°),C,170724.0,atlantic,37.5,W,
Telstar 11N,Ku,231015.0,atlantic,37.5,W,Zenit 3
SES 6,CKu,240224.0,atlantic,40.5,W,Proton
Sky Brasil 1,Ku,240203.0,atlantic,43.1,W,Ariane 5 - VA235
Intelsat 14,CKu,240227.0,atlantic,45.0,W,Atlas 5
SES 14,C,240213.0,atlantic,47.5,W,Ariane 5 - VA241
Intelsat 23,CKu,220731.0,atlantic,53.0,W,Proton
Intelsat 34,C,240310.0,atlantic,55.5,W,Ariane 5 - VA225
Intelsat 21,CKu,240224.0,atlantic,58.0,W,Zenit 3/Sea Launch
Amazonas 2,Ku,240123.0,atlantic,61.0,W,Ariane 5 - V191
Amazonas 3,CKu,240226.0,atlantic,61.0,W,Ariane 5 - VA212
Amazonas 5,Ku,240225.0,atlantic,61.0,W,Proton
Amazonas Nexus,,,atlantic,61.0,W,Falcon 9
SES 1,CKu,240309.0,america,150.0,W,Proton
T9S,Ku,240214.0,america,150.0,W,
T10/T12,KuKa,180927.0,america,103.0,W,
SES 3,Ku,240307.0,america,103.0,W,Proton
SES 18,C,240301.0,america,103.0,W,Falcon 9
SES 20,,,america,103.5,W,Atlas
AMC 15,Ku,170706.0,america,105.0,W,Proton
EchoStar 105/SES 11,CKu,240131.0,america,105.0,W,Falcon 9
Anik F1R (incl. 2.1°),C,240203.0,america,107.3,W,
Anik G1,Ku,240228.0,america,107.3,W,Proton
EchoStar 23,,,america,109.9,W,Falcon 9
T5 (incl. 2.6°),Ku,100331.0,america,110.0,W,
EchoStar 10,Ku,200530.0,america,110.0,W,Zenit
EchoStar 11,Ku,231015.0,america,110.0,W,Zenit 3/Sea Launch
Anik F2 (incl. 1.0°),CKa,240228.0,america,111.1,W,
Anik F4,,,america,111.1,W,Atlas 2AS
Eutelsat 113 West A,,240202.0,america,113.0,W,
Eutelsat 115 West B,CKu,240307.0,america,114.9,W,Falcon 9
Sirius XM 5,S,231228.0,america,115.2,W,Proton
Eutelsat 117 West A,CKu,240306.0,america,117.0,W,Proton
Eutelsat 117 West B,Ku,240104.0,america,117.0,W,Falcon 9
Anik F3,CKu,240306.0,america,119.0,W,Proton
T8,Ku,210415.0,america,119.0,W,Proton
EchoStar 14,Ku,230717.0,america,119.0,W,Proton
Galaxy 31,C,231103.0,america,121.0,W,Falcon 9
Galaxy 18,CKu,240308.0,america,123.0,W,Zenit 3/Sea Launch
Galaxy 30,C,240301.0,america,125.0,W,Ariane 5 - VA253
Galaxy 37/Horizons 4,C,240208.0,america,127.0,W,Falcon 9
SES 15,Ku,240306.0,america,129.0,W,Soyuz - VS17
Galaxy 34,,,america,129.0,W,Falcon 9
SES 21,C,231020.0,america,131.0,W,Atlas
Galaxy 33,CKu,230926.0,america,133.0,W,Falcon 9
SES 22,C,240302.0,america,135.0,W,Falcon 9
SES 19,,,america,135.0,W,Falcon 9
AMC 6,C,210906.0,america,139.0,W,Proton
Galaxy 13/Horizons 1,,,america,150.0,W,Zenit 3
