Name,Frequency,Launch_Date,Region,Position_Longitude,Position_Direction
Intelsat 40e,,,america,91.0,W
Galaxy 32,C,240227,america,91.0,W
Nimiq 6,Ku,240106,america,91.0,W
Galaxy 35,C,230818,america,93.1,W
Galaxy 3C (incl. 1.6°),Ku,220108,america,95.0,W
Intelsat 31,Ku,240104,america,95.0,W
Intelsat 30,Ku,240104,america,95.0,W
Jupiter 3/EchoStar 24,,,america,95.2,W
Eutelsat 33E (incl. 0.6°),,,america,95.4,W
Galaxy 19,CKu,240306,america,97.0,W
Galaxy 16,CKu,240224,america,99.2,W
T11/T14,KuKa,181003,america,99.2,W
T16,Ku,200711,america,101.0,W
SES 1,CKu,240309,america,101.0,W
T9S (incl. 0.3°),Ku,240214,america,101.0,W
T10/T12,KuKa,180927,america,103.0,W
SES 3,Ku,240307,america,103.0,W
SES 18,C,240301,america,103.0,W
SES 20,,,america,103.5,W
AMC 15,Ku,170706,america,105.0,W
EchoStar 105/SES 11,CKu,240316,america,105.0,W
Anik F1R (incl. 2.2°),C,240203,america,107.3,W
Anik G1,Ku,240312,america,107.3,W
EchoStar 23,,,america,109.9,W
T5 (incl. 2.8°),Ku,100331,america,110.0,W
EchoStar 10,Ku,200530,america,110.0,W
EchoStar 11,Ku,231015,america,110.0,W
Anik F2 (incl. 1.2°),CKa,240228,america,111.1,W
Anik F4,,,america,111.1,W
Eutelsat 113 West A (incl. 0.2°),,240202,america,112.5,W
Eutelsat 115 West B,CKu,240307,america,114.9,W
Sirius XM 5,S,231228,america,115.2,W
Eutelsat 117 West A,CKu,240313,america,117.0,W
Eutelsat 117 West B,Ku,240104,america,117.0,W
Anik F3,CKu,240306,america,119.0,W
T8,Ku,210415,america,119.0,W
EchoStar 14,Ku,230717,america,119.0,W
Galaxy 31,C,231103,america,121.0,W
Galaxy 18,CKu,240308,america,123.0,W
Galaxy 30,C,240301,america,125.0,W
Galaxy 37/Horizons 4,C,240208,america,127.0,W
SES 15,Ku,240306,america,129.0,W
Galaxy 34,,,america,129.0,W
SES 21,C,231020,america,131.0,W
Galaxy 33,CKu,230926,america,133.0,W
SES 22,C,240302,america,135.0,W
SES 19,,,america,135.0,W
AMC 6,C,210906,america,139.0,W
Galaxy 13/Horizons 1,,,america,150.0,W
